SAM_index_EN_1972	SAM_index_EN_1982	SAM_index_EN_1997	SAM_index_EN_2015	SAM_index_EN_mean
-1.2153313717475154	0.2421559373877683	-0.23020572129440145	0.525663545922148	-0.16942940243300011
-0.6313565163613757	0.5627449473547231	-0.015648314038227085	0.7986992433831139	0.17860984008455857
-0.19672549891517246	1.4417082129783876	0.39855733894587125	0.7850278411922653	0.6071419735503378
-0.6159989589976892	1.0943228810541732	0.49444398587990995	1.146131283206853	0.5297247977858117
-1.6451701587024954	0.31204496744641796	0.6287105138533075	0.7242842178605311	0.004967385114440254
-2.065345081245837	-0.4819332749922481	-0.11978824681826161	0.5442719730927463	-0.5306986574909001
-1.8935207312647135	-0.16619721578589852	-0.013070037984469558	0.49923154558118055	-0.3933891098634753
-0.8479924251463947	0.46235098811656095	0.03792564671648202	0.6962314534060601	0.08712891577317708
-0.32445292095512707	0.5527120905368402	0.5234776162243975	0.8040239439289177	0.38894018243375705
0.019004276619069005	0.5057799930945284	0.5621751109805235	0.7665688793001459	0.4633820649985667
-0.5511356989278859	-0.5782356222320557	0.15635819675104218	0.9854280841025354	0.0031037399234089547
-0.8648166105551534	-1.0574680129342937	-0.220490478193286	0.658622252708857	-0.37103821224346906
-0.6359805984143106	-1.3053421649213608	-0.28508283244584687	0.6230822119605935	-0.4008308459552312
0.2892515124784166	-0.3595398950780023	0.12660993554382832	0.5025571480273315	0.13971967524289353
0.7929261470018745	0.45211261654077006	0.7554991071128174	1.3315429611596807	0.8330202079537856
0.10070106367753606	0.599784311677726	1.250892431050565	1.2346240696461486	0.7965004690129939
-0.4800089095318345	0.056772284174655185	0.7965179844753157	0.7858919373334704	0.2897933241129017
-0.8838127132918059	0.06637075752695923	0.705390872502833	0.5252151500867122	0.10329101670617463
-0.3156251279449789	0.3244552563501026	0.678650600025003	0.31931738740239746	0.2516995289581311
-0.02043587373949814	0.5138651305022356	1.529911410440631	0.2754306450090891	0.5746928280531145
0.48867088949867	0.9272533952446536	1.5900431602885932	0.4310566954350834	0.85925603511675
0.49104832158447176	1.0654854238876892	1.4247018667614832	0.6068512168757972	0.8970217072773603
0.5614791632776068	1.1605686949499048	1.3520804245806448	0.5548559831250194	0.907246066483294
0.04729525136111534	0.09475981885800758	1.310010619478843	-0.4345481109245475	0.25437939469335463
